Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg07421287,II,1,"111,218,287",F,KCNA3,-0.0048,0.0009,-5.07,3.9E-07,3.7E-05,1,0,58.4%,---+----+-------
cg13526040,I,11,"57,093,322",R,TNKS1BP1,-0.0055,0.0011,-5.07,3.9E-07,3.7E-05,1,0,50.2%,-------+-------+
cg24257309,II,20,"3,065,423",R,AVP,0.0033,0.0007,5.07,4.0E-07,3.7E-05,1,0,60.8%,++++++++++++++--
cg08899667,II,6,"31,761,055",R,VARS,0.0052,0.0010,5.07,4.0E-07,3.7E-05,1,0,64.4%,+++-+-++++++++++
cg21091547,II,6,"36,645,500",F,CDKN1A,-0.0070,0.0014,-5.07,4.1E-07,3.7E-05,1,0,57.1%,-----------+----
cg00300637,II,5,"319,433",R,AHRR,0.0058,0.0012,5.06,4.1E-07,3.8E-05,1,0,54.4%,+++++++++++-++++
cg16049691,II,5,"434,877",F,AHRR,0.0024,0.0005,5.06,4.3E-07,3.9E-05,1,0,41.4%,+++-++++++++++-+
cg02711608,II,19,"47,287,964",F,SLC1A5,-0.0053,0.0011,-5.05,4.4E-07,4.0E-05,1,0,42.7%,----------------
cg00202479,II,6,"31,760,383",R,VARS,0.0037,0.0007,5.04,4.6E-07,4.1E-05,1,0,46.2%,+++-+-+++++++-++
cg11907477,II,6,"156,828,989",F,,0.0048,0.0010,5.03,4.9E-07,4.4E-05,0,0,19.7%,++++++++-++-++++
cg14817490,II,5,"392,920",F,AHRR,-0.0056,0.0011,-5.02,5.3E-07,4.7E-05,1,0,88.6%,-----------+----
cg14544289,I,14,"78,051,204",F,SPTLC2,-0.0035,0.0007,-5.00,5.8E-07,5.2E-05,0,0,65.8%,------+------+-+
cg20724032,II,3,"41,460,736",F,ULK4,0.0031,0.0006,5.00,5.9E-07,5.2E-05,0,0,67.9%,++++++-+++-?++++
cg24771152,I,6,"31,760,608",F,VARS,0.0035,0.0007,4.98,6.4E-07,5.6E-05,1,0,47.9%,+++-+-++++++++++
cg19717773,I,7,"2,847,554",F,GNA12,-0.0146,0.0029,-4.97,6.6E-07,5.8E-05,1,0,62.7%,-----------+----
cg11036041,II,4,"41,365,307",F,LIMCH1,-0.0083,0.0017,-4.97,6.8E-07,5.9E-05,0,0,37.2%,-----------?----
cg13916835,II,17,"2,078,431",F,SMG6,-0.0051,0.0010,-4.96,7.0E-07,6.1E-05,1,0,75.7%,-----------+----
cg01083131,II,16,"67,877,413",F,THAP11;CENPT,-0.0044,0.0009,-4.95,7.6E-07,6.6E-05,1,0,71.5%,---+------------
cg00995520,II,1,"111,218,282",R,KCNA3,-0.0078,0.0016,-4.93,8.2E-07,7.1E-05,1,0,47.4%,---+----+-------
cg22107533,II,15,"45,028,083",F,TRIM69,-0.0042,0.0009,-4.92,8.6E-07,7.4E-05,1,0,64.1%,---+--------+---
cg25242471,I,2,"219,738,732",R,WNT6,0.0075,0.0015,4.91,8.9E-07,7.6E-05,0,0,48.7%,+++++-+++++++-++
cg19220282,II,2,"65,217,528",F,SLC1A4,-0.0075,0.0015,-4.91,8.9E-07,7.6E-05,1,0,60.8%,-----------+-+-+
cg14142087,II,9,"110,479,859",F,,0.0042,0.0009,4.91,9.2E-07,7.7E-05,0,0,72.0%,+++++-+-+++?++--
cg18369034,II,14,"52,733,216",R,PTGDR,-0.0068,0.0014,-4.90,9.3E-07,7.9E-05,1,0,57.9%,--------------+-
cg26468891,II,11,"48,077,221",R,PTPRJ,-0.0070,0.0014,-4.88,1.0E-06,8.7E-05,1,0,50.9%,-+--------------
cg23925513,I,17,"6,923,526",F,,-0.0044,0.0009,-4.88,1.0E-06,8.7E-05,0,0,43.2%,--+-----------+-
cg26900995,II,17,"20,060,311",F,CYTSB,-0.0043,0.0009,-4.88,1.1E-06,8.8E-05,0,0,55.2%,--++----------+-
cg01005506,II,10,"64,565,768",R,ADO,-0.0047,0.0010,-4.88,1.1E-06,8.8E-05,1,0,68.2%,--------+---+--+
cg03188382,II,2,"233,245,886",R,ALPP,-0.0061,0.0013,-4.87,1.1E-06,9.0E-05,1,0,64.0%,-----------?---+
cg15698545,II,11,"86,383,723",F,ME3,-0.0064,0.0013,-4.87,1.1E-06,9.1E-05,1,0,37.8%,--------+-----+-
cg13038618,II,14,"77,467,391",F,,-0.0042,0.0009,-4.87,1.1E-06,9.1E-05,1,0,82.8%,--------+--?-+--
cg03227037,II,20,"62,212,228",R,,0.0059,0.0012,4.87,1.1E-06,9.1E-05,0,0,64.2%,+++++++++++++-++
cg00782200,I,2,"145,280,523",F,,-0.0066,0.0014,-4.86,1.1E-06,9.3E-05,0,0,48.7%,--------------++
cg07180646,II,1,"15,481,541",R,TMEM51,-0.0081,0.0017,-4.85,1.2E-06,9.7E-05,1,0,64.2%,--+------------+
cg14977938,II,14,"104,190,829",F,ZFYVE21,0.0054,0.0011,4.85,1.2E-06,9.8E-05,1,0,70.0%,+++++-++++++++++
cg01594949,II,9,"140,197,890",F,NRARP,-0.0049,0.0010,-4.84,1.3E-06,1.0E-04,0,0,69.6%,--+------------+
cg01294327,II,19,"2,291,373",R,LINGO3,-0.0112,0.0023,-4.84,1.3E-06,1.1E-04,1,0,72.2%,--+--------+-++-
cg26889659,I,6,"684,090",F,EXOC2,-0.0151,0.0031,-4.83,1.4E-06,1.1E-04,1,0,45.7%,---------?------
cg26271591,II,2,"178,125,956",F,NFE2L2,-0.0054,0.0011,-4.83,1.4E-06,1.1E-04,1,0,83.0%,-----------+++--
cg05673882,II,5,"74,862,702",F,POLK,-0.0081,0.0017,-4.83,1.4E-06,1.1E-04,1,0,68.8%,---+-------+----
cg14093936,II,15,"74,726,614",F,SEMA7A,-0.0030,0.0006,-4.82,1.4E-06,1.1E-04,1,0,47.9%,---+----+--+----
cg24504361,II,12,"53,297,987",R,KRT8,-0.0053,0.0011,-4.82,1.5E-06,1.1E-04,1,0,61.4%,----------------
cg23570810,II,11,"315,102",F,IFITM1,-0.0065,0.0013,-4.82,1.5E-06,1.1E-04,1,0,65.5%,---+------------
cg07057831,II,12,"131,323,042",R,STX2,-0.0043,0.0009,-4.81,1.5E-06,1.1E-04,0,0,60.2%,--+------+-?--+-
cg07151117,II,8,"29,204,954",R,DUSP4,-0.0028,0.0006,-4.81,1.5E-06,1.2E-04,1,0,67.2%,--------+-------
cg17631390,II,15,"42,174,823",R,SPTBN5,-0.0037,0.0008,-4.81,1.5E-06,1.2E-04,0,0,38.5%,--+------+-+-++-
cg01290904,II,4,"5,708,474",R,EVC2,-0.0069,0.0014,-4.81,1.5E-06,1.2E-04,0,0,50.7%,--------+---+---
cg05136169,II,20,"3,065,473",F,AVP,0.0032,0.0007,4.80,1.6E-06,1.2E-04,1,0,39.6%,+++-+-+++-++++++
cg02597894,II,6,"31,760,796",R,VARS,0.0036,0.0008,4.80,1.6E-06,1.2E-04,1,0,40.0%,+++-+-+++++-++++
cg14239618,II,7,"110,281,356",R,,0.0022,0.0005,4.79,1.7E-06,1.2E-04,0,0,46.5%,++++?-+++++?++-+
cg13772815,I,17,"20,492,631",F,,-0.0032,0.0007,-4.79,1.7E-06,1.3E-04,0,0,62.7%,---+-+---+-?--++
cg05711036,I,7,"5,527,927",F,FBXL18,-0.0058,0.0012,-4.78,1.8E-06,1.3E-04,0,0,54.6%,--+---+----+----
cg24230340,II,2,"74,758,080",F,HTRA2;AUP1,-0.0037,0.0008,-4.77,1.8E-06,1.4E-04,0,0,75.3%,--------+-------
cg19459791,II,15,"65,363,022",R,,0.0038,0.0008,4.77,1.8E-06,1.4E-04,1,0,72.9%,+++-+++++++-++++
cg09469355,II,1,"2,161,886",R,SKI,-0.0033,0.0007,-4.76,1.9E-06,1.4E-04,1,0,79.9%,-------------+--
cg01901332,II,11,"75,031,054",R,ARRB1,-0.0053,0.0011,-4.76,2.0E-06,1.4E-04,1,0,82.4%,-------------+--
cg13641317,II,3,"127,255,552",R,,0.0054,0.0011,4.75,2.0E-06,1.5E-04,0,0,64.3%,+++++++++++-++++
cg24109116,II,7,"99,725,975",F,MBLAC1,-0.0020,0.0004,-4.75,2.0E-06,1.5E-04,0,0,52.1%,--+-------------
cg13500388,II,16,"67,062,135",F,CBFB,-0.0044,0.0009,-4.75,2.1E-06,1.5E-04,1,0,72.2%,-+-----------+--
cg11147309,II,8,"145,011,888",F,PLEC1,-0.0024,0.0005,-4.74,2.1E-06,1.5E-04,1,0,73.2%,-----+----------
cg26021810,II,1,"200,841,646",R,GPR25,0.0025,0.0005,4.74,2.1E-06,1.5E-04,1,0,43.7%,++--++++++++++-+
cg01715384,II,1,"41,853,403",R,,0.0028,0.0006,4.74,2.2E-06,1.6E-04,0,0,47.5%,++++++++++++++++
cg22103219,II,7,"101,934,892",R,SH2B2,-0.0039,0.0008,-4.73,2.2E-06,1.6E-04,1,0,76.5%,---+-----+---+--
cg25317941,II,2,"233,351,153",R,ECEL1,0.0032,0.0007,4.73,2.3E-06,1.6E-04,0,0,56.2%,+++++++-+++-++-+
cg12619504,II,5,"179,232,533",R,SQSTM1;MGAT4B,-0.0042,0.0009,-4.73,2.3E-06,1.6E-04,0,0,71.5%,-------+---+----
cg25593631,I,1,"9,687,880",F,,-0.0044,0.0009,-4.73,2.3E-06,1.6E-04,0,0,70.9%,-----------+--++
cg19089201,I,7,"45,002,287",R,MYO1G,0.0076,0.0016,4.72,2.3E-06,1.6E-04,1,0,75.6%,+++++++++++++-++
cg18451588,II,7,"29,606,289",F,PRR15,-0.0069,0.0015,-4.72,2.3E-06,1.6E-04,1,0,62.6%,--+--------?---+
cg19925780,II,1,"101,509,557",R,,0.0056,0.0012,4.72,2.4E-06,1.7E-04,0,0,62.1%,+++++++++-+-++++
cg13782301,I,6,"32,116,875",F,PRRT1,0.0059,0.0013,4.72,2.4E-06,1.7E-04,1,0,53.8%,+++++++++++-+-++
cg10843343,I,12,"53,298,027",R,KRT8,-0.0060,0.0013,-4.71,2.5E-06,1.7E-04,1,0,53.7%,-+--------------
cg24924577,II,15,"90,735,148",R,SEMA4B,0.0049,0.0010,4.71,2.5E-06,1.7E-04,0,0,68.3%,+++++++++++-++++
cg12405265,II,1,"24,655,961",R,GRHL3,0.0047,0.0010,4.70,2.7E-06,1.8E-04,0,0,42.6%,+++++-++++++++--
cg00911794,I,17,"1,962,132",F,HIC1,0.0061,0.0013,4.70,2.7E-06,1.8E-04,1,0,70.6%,++++--+++++-++++
cg13985198,I,1,"45,242,073",F,SNORD46;RPS8;SNORD38A,-0.0025,0.0005,-4.69,2.7E-06,1.8E-04,1,1,73.5%,---+---------+--
cg25221975,I,3,"13,663,444",F,FBLN2,0.0045,0.0010,4.69,2.7E-06,1.8E-04,0,0,55.1%,++-++++++++++++-
cg19254163,II,11,"60,623,782",R,GPR44,-0.0055,0.0012,-4.69,2.8E-06,1.9E-04,1,0,73.8%,---------+------
cg12547807,II,1,"9,473,751",F,,-0.0051,0.0011,-4.69,2.8E-06,1.9E-04,1,0,69.9%,---------+-+----
cg10959651,II,2,"7,018,020",R,RSAD2,-0.0043,0.0009,-4.68,2.9E-06,1.9E-04,0,0,43.7%,---+-------+--++
cg09462576,II,1,"228,297,873",F,MRPL55,-0.0058,0.0012,-4.68,2.9E-06,2.0E-04,0,0,48.6%,--+-----+-------
cg26076054,I,5,"421,317",F,AHRR,0.0090,0.0019,4.68,2.9E-06,2.0E-04,1,0,52.2%,++++++++-+++++++
cg08101174,II,10,"104,196,541",R,,-0.0036,0.0008,-4.68,2.9E-06,2.0E-04,0,0,70.8%,---+-------++---
cg04325591,II,16,"74,806,009",R,FA2H,0.0031,0.0007,4.67,3.0E-06,2.0E-04,0,0,59.2%,+++-++++++++++-+
cg25491122,II,13,"67,801,551",F,PCDH9,0.0042,0.0009,4.66,3.1E-06,2.1E-04,1,0,67.1%,+++++-++++++-+++
cg04158698,II,1,"201,523,041",F,,0.0035,0.0007,4.66,3.2E-06,2.1E-04,0,0,35.8%,+++-+-+-+++++-++
cg13745346,II,16,"89,044,523",F,CBFA2T3,-0.0024,0.0005,-4.66,3.2E-06,2.1E-04,1,0,63.1%,--------++------
cg14626483,II,18,"74,535,991",R,ZNF236,-0.0053,0.0011,-4.66,3.2E-06,2.1E-04,0,0,18.1%,--+----------+-+
cg26114100,II,10,"101,418,483",F,ENTPD7,-0.0039,0.0008,-4.66,3.2E-06,2.1E-04,0,0,7.8%,-----+----------
cg04770751,II,19,"7,701,662",R,STXBP2,-0.0071,0.0015,-4.65,3.3E-06,2.2E-04,1,0,61.5%,-----------+--+-
cg26331343,II,3,"156,807,520",R,,-0.0049,0.0011,-4.65,3.3E-06,2.2E-04,0,0,41.7%,--+-------------
cg21393163,II,1,"12,217,629",R,,-0.0036,0.0008,-4.65,3.4E-06,2.2E-04,1,0,73.6%,---+-------+----
cg24426691,I,13,"96,204,669",F,CLDN10,-0.0041,0.0009,-4.64,3.5E-06,2.3E-04,0,0,31.0%,-------------+--
cg25551168,II,20,"3,065,343",R,AVP,0.0028,0.0006,4.64,3.5E-06,2.3E-04,1,0,53.5%,+++++-++++-+-++-
cg03484180,I,3,"49,967,517",F,MON1A,-0.0036,0.0008,-4.64,3.6E-06,2.3E-04,0,0,50.1%,------+-----+---
cg00129827,II,6,"71,394,664",F,SMAP1,-0.0034,0.0007,-4.63,3.6E-06,2.3E-04,0,0,57.1%,----?----+--+---
cg24134897,I,11,"859,670",F,TSPAN4,0.0069,0.0015,4.63,3.7E-06,2.4E-04,0,0,62.6%,++-++-++++++++++
cg11429111,I,5,"134,813,329",F,,0.0043,0.0009,4.62,3.9E-06,2.4E-04,0,0,67.5%,+++++++++++++++-
cg06459104,II,18,"5,456,880",F,EPB41L3,-0.0125,0.0027,-4.62,3.9E-06,2.4E-04,1,0,59.1%,-----------+-+--
cg00116430,I,1,"94,188,268",F,,-0.0058,0.0013,-4.62,3.9E-06,2.4E-04,0,0,70.5%,----------------
cg01328473,II,2,"1,711,966",R,PXDN,-0.0044,0.0009,-4.61,4.0E-06,2.5E-04,0,0,47.0%,--+----+-+-?--+-
cg16360836,II,2,"240,207,606",R,HDAC4,-0.0026,0.0006,-4.61,4.0E-06,2.5E-04,1,0,56.9%,-----------+++--
cg27635135,II,7,"145,395,986",F,,0.0051,0.0011,4.61,4.1E-06,2.5E-04,0,0,28.5%,+++++-+++++-++++
cg06924081,II,15,"69,791,774",F,,0.0017,0.0004,4.60,4.1E-06,2.6E-04,0,0,59.5%,++++++-++++-++++
cg18824446,II,15,"89,154,058",R,MIR7-2,-0.0053,0.0012,-4.60,4.2E-06,2.6E-04,0,1,47.1%,-+---------+----
cg05232694,I,20,"48,809,539",R,,-0.0084,0.0018,-4.60,4.2E-06,2.6E-04,0,0,38.1%,----?---------+-
cg26169081,I,10,"12,648,338",R,CAMK1D,-0.0044,0.0010,-4.60,4.3E-06,2.6E-04,0,0,34.9%,--+----------+--
cg13985437,II,11,"76,381,044",F,LRRC32,-0.0034,0.0007,-4.59,4.4E-06,2.7E-04,1,0,76.5%,---------------+
cg13078421,II,19,"2,624,622",R,GNG7,0.0058,0.0013,4.59,4.4E-06,2.7E-04,0,0,31.0%,++-++-++++++++++
cg10788371,II,11,"76,381,040",F,LRRC32,-0.0043,0.0009,-4.59,4.5E-06,2.8E-04,1,0,77.3%,-+----------+---
cg05527044,II,2,"73,510,851",F,,-0.0024,0.0005,-4.58,4.6E-06,2.8E-04,0,0,67.0%,-+-------------+
cg07902673,I,1,"87,793,396",R,LMO4,-0.0037,0.0008,-4.58,4.7E-06,2.8E-04,0,0,42.1%,--------+------+
cg27312979,I,10,"97,094,453",F,SORBS1,0.0081,0.0018,4.57,4.8E-06,2.9E-04,1,0,74.7%,++-+++++++++++++
cg25839482,II,15,"75,931,953",R,IMP3,-0.0025,0.0005,-4.57,4.8E-06,2.9E-04,0,0,59.9%,-------------+-+
cg23126342,II,13,"67,801,125",R,PCDH9,0.0094,0.0021,4.57,4.8E-06,2.9E-04,1,0,64.7%,+++++-+++++-++++
cg27585939,II,11,"108,983,607",F,,0.0048,0.0011,4.57,4.9E-06,2.9E-04,0,0,48.2%,+++++++++++?++++
cg10051935,II,19,"58,740,549",R,ZNF544,-0.0021,0.0005,-4.56,5.2E-06,3.1E-04,0,0,56.0%,---+-------++--+
cg24139443,II,17,"74,131,549",R,,-0.0067,0.0015,-4.55,5.3E-06,3.1E-04,0,0,59.0%,---+---------+--
cg24698211,I,5,"170,877,540",F,FGF18,-0.0040,0.0009,-4.55,5.4E-06,3.2E-04,0,0,67.0%,--+--------+----
cg23169111,II,20,"3,065,582",F,AVP,0.0031,0.0007,4.55,5.4E-06,3.2E-04,1,0,64.2%,+++-+++++++-++-+
cg09662411,II,1,"92,946,132",F,GFI1,-0.0058,0.0013,-4.55,5.4E-06,3.2E-04,1,0,82.0%,----------------
cg25955180,II,6,"32,116,538",F,PRRT1,0.0043,0.0010,4.54,5.6E-06,3.3E-04,1,0,56.8%,+++++++++++-+--+
cg15777760,II,16,"29,832,180",R,C16orf53;MVP,-0.0042,0.0009,-4.54,5.7E-06,3.3E-04,0,0,63.8%,---+-----+-?----
cg12621315,I,2,"129,080,120",R,,-0.0055,0.0012,-4.54,5.7E-06,3.3E-04,0,0,46.4%,--+---+-++-?--+-
cg00210249,II,10,"71,135,679",R,HK1,0.0042,0.0009,4.54,5.7E-06,3.3E-04,1,0,72.8%,+++++-++++++++++
cg09006487,II,3,"72,424,982",R,RYBP,-0.0058,0.0013,-4.53,5.9E-06,3.4E-04,0,0,52.9%,-------------+--
cg04755857,II,4,"5,748,162",F,EVC,0.0027,0.0006,4.53,6.0E-06,3.5E-04,1,0,-10.0%,++-++++++++-+--+
cg11436113,II,20,"19,191,145",R,,-0.0048,0.0011,-4.52,6.0E-06,3.5E-04,1,0,73.3%,-----+----------
cg13903421,II,2,"219,738,714",R,WNT6,0.0079,0.0018,4.52,6.1E-06,3.5E-04,0,0,48.6%,+++++-+++++++-++
cg01415909,I,17,"1,881,005",F,RTN4RL1,-0.0024,0.0005,-4.52,6.2E-06,3.5E-04,0,0,23.0%,--+------+------
cg04813697,I,10,"22,920,025",R,PIP4K2A,-0.0057,0.0013,-4.51,6.5E-06,3.7E-04,1,0,67.6%,---+-+-----+----
cg22966895,II,6,"33,268,050",F,TAPBP;RGL2,-0.0032,0.0007,-4.51,6.6E-06,3.7E-04,0,0,57.0%,-------------??-
cg06235438,II,16,"30,485,966",F,ITGAL,-0.0040,0.0009,-4.51,6.6E-06,3.7E-04,1,0,72.3%,---+------------
cg18394552,II,5,"159,428,643",F,,0.0049,0.0011,4.50,6.7E-06,3.8E-04,0,0,63.3%,+++-+-++++++++++
cg23749482,I,17,"77,901,317",R,,-0.0063,0.0014,-4.50,6.7E-06,3.8E-04,0,0,63.8%,---+-+-----?+---
cg16541026,II,3,"49,026,934",R,P4HTM,-0.0035,0.0008,-4.50,6.8E-06,3.8E-04,1,0,70.3%,---+--------+--+
cg24056567,II,8,"18,871,909",F,PSD3,-0.0032,0.0007,-4.49,7.1E-06,4.0E-04,1,0,44.7%,--++-+------+---
cg00580497,II,5,"1,153,746",R,,-0.0039,0.0009,-4.49,7.2E-06,4.0E-04,0,0,63.0%,---+-------+----
cg08384239,II,2,"160,041,968",R,TANC1,0.0030,0.0007,4.49,7.2E-06,4.0E-04,0,0,77.5%,+++++++-+++-++-+
cg25421530,II,10,"97,200,987",R,SORBS1,0.0032,0.0007,4.48,7.3E-06,4.1E-04,1,0,74.8%,++-++--++++++-++
cg18316974,I,1,"92,947,035",F,GFI1,-0.0052,0.0012,-4.48,7.4E-06,4.1E-04,1,0,86.1%,-----------+----
cg01937809,II,1,"37,941,854",R,ZC3H12A,-0.0042,0.0009,-4.48,7.4E-06,4.1E-04,1,0,73.8%,---------+---+++
cg01293143,II,20,"62,688,326",R,TCEA2,-0.0031,0.0007,-4.48,7.5E-06,4.1E-04,1,0,62.0%,--+-----+--+--++
cg20897136,II,10,"74,034,667",R,DDIT4,-0.0034,0.0008,-4.48,7.5E-06,4.1E-04,1,0,66.6%,--------++--+---
cg00741986,II,4,"2,748,332",R,TNIP2,-0.0038,0.0009,-4.47,7.8E-06,4.2E-04,1,0,76.0%,-----+---+-+----
cg11445634,II,15,"61,821,004",R,,-0.0043,0.0010,-4.47,8.0E-06,4.3E-04,0,0,67.5%,------+-+---+---
cg25953130,II,10,"63,753,550",F,ARID5B,-0.0084,0.0019,-4.46,8.1E-06,4.4E-04,1,0,72.3%,---+-+---+---+--
cg01730666,II,17,"41,924,302",F,CD300LG,-0.0027,0.0006,-4.46,8.3E-06,4.5E-04,0,0,58.3%,---+--------+---
cg03483626,II,1,"111,218,276",R,KCNA3,-0.0057,0.0013,-4.45,8.5E-06,4.6E-04,1,0,49.5%,---+----+-------
cg05523603,II,22,"50,973,101",R,,-0.0037,0.0008,-4.44,8.8E-06,4.8E-04,0,0,54.7%,--------+-----++
cg24209126,II,7,"110,547,138",F,IMMP2L,0.0032,0.0007,4.44,9.1E-06,4.9E-04,1,0,55.4%,+++++++++++?+-++
cg16391678,I,16,"30,485,597",F,ITGAL,-0.0029,0.0006,-4.44,9.2E-06,4.9E-04,1,0,79.0%,-----+-----+----
cg02336104,I,3,"71,481,486",R,FOXP1,-0.0034,0.0008,-4.44,9.2E-06,4.9E-04,1,0,74.9%,--+-----------+-
cg14389669,I,9,"136,399,386",R,ADAMTSL2,-0.0043,0.0010,-4.43,9.3E-06,5.0E-04,0,0,65.1%,--------+-----++
cg27637521,II,17,"76,355,202",R,SOCS3,-0.0019,0.0004,-4.43,9.3E-06,5.0E-04,0,0,60.4%,-----+--+----+--
cg08047086,I,16,"89,044,646",F,CBFA2T3,-0.0030,0.0007,-4.43,9.4E-06,5.0E-04,1,0,61.3%,------+-+-------
cg25140188,II,X,"31,087,348",F,,-0.0083,0.0019,-4.43,9.5E-06,5.0E-04,0,0,46.5%,---+-??-??------
cg10691866,II,7,"65,817,282",F,TPST1,-0.0064,0.0014,-4.43,9.6E-06,5.1E-04,1,0,79.1%,---+-+--+--+----
cg26467528,II,6,"31,632,248",F,BAT4;CSNK2B,-0.0038,0.0009,-4.42,9.7E-06,5.1E-04,0,0,68.0%,--+-------------
cg07751331,I,2,"26,205,865",F,KIF3C,-0.0044,0.0010,-4.42,9.9E-06,5.2E-04,0,0,50.4%,-----------+--++
cg27537125,II,1,"25,349,681",F,,-0.0032,0.0007,-4.42,1.0E-05,5.3E-04,1,0,83.1%,---+-----+------
cg26707709,II,2,"241,975,756",F,SNED1,0.0063,0.0014,4.41,1.0E-05,5.4E-04,1,0,77.9%,+++++++++++++-++
cg18146737,I,1,"92,946,700",R,GFI1,-0.0070,0.0016,-4.41,1.0E-05,5.4E-04,1,0,86.5%,----------------
cg11152384,II,11,"68,934,300",R,,-0.0029,0.0007,-4.40,1.1E-05,5.5E-04,1,0,69.3%,---------+-+----
cg03499581,II,15,"78,384,868",R,SH2D7,0.0032,0.0007,4.40,1.1E-05,5.6E-04,0,0,55.0%,+++-++++++++++-+
cg18990050,I,7,"1,163,642",F,C7orf50,-0.0035,0.0008,-4.40,1.1E-05,5.6E-04,1,0,60.9%,---+------------
cg10361922,I,17,"40,925,790",R,VPS25,-0.0026,0.0006,-4.40,1.1E-05,5.6E-04,1,0,66.9%,--------+-------
cg13385220,II,1,"202,250,453",F,LGR6,-0.0079,0.0018,-4.40,1.1E-05,5.6E-04,0,0,51.0%,--------+-------
cg19406367,II,1,"66,999,929",R,SGIP1,0.0046,0.0010,4.40,1.1E-05,5.6E-04,1,0,73.8%,+++-++++++++++++
cg27067781,II,6,"32,116,853",R,PRRT1,0.0041,0.0009,4.39,1.1E-05,5.7E-04,1,0,59.4%,+++++-+++++++-++
cg21380183,II,20,"50,312,632",R,ATP9A,-0.0033,0.0008,-4.39,1.1E-05,5.7E-04,1,0,62.2%,----???-?-------
cg00917251,II,1,"24,829,987",R,RCAN3,-0.0021,0.0005,-4.39,1.1E-05,5.7E-04,0,0,66.5%,--+-----------+-
cg12766736,I,11,"32,460,656",R,WIT1,-0.0032,0.0007,-4.39,1.1E-05,5.7E-04,0,0,25.4%,-+---------?----
cg03646329,II,13,"48,987,165",F,LPAR6;RB1,-0.0073,0.0017,-4.39,1.1E-05,5.7E-04,1,0,70.2%,----?------+----
cg13937758,II,6,"150,217,448",R,,-0.0045,0.0010,-4.39,1.1E-05,5.7E-04,0,0,60.7%,---+--------+-+-
cg21990700,II,12,"7,260,776",R,LOC283314;C1RL,-0.0038,0.0009,-4.39,1.1E-05,5.8E-04,1,0,74.6%,---+----+--++---
cg12982322,II,11,"32,449,821",F,WT1,0.0039,0.0009,4.39,1.2E-05,5.8E-04,0,0,23.7%,+++-+++-+++-++-+
cg17298279,I,6,"158,982,078",F,TMEM181,-0.0016,0.0004,-4.39,1.2E-05,5.8E-04,0,0,40.7%,--++---------++-
cg00893603,II,13,"26,587,011",R,ATP8A2,-0.0057,0.0013,-4.38,1.2E-05,6.0E-04,1,0,76.9%,---------+-+---+
cg19906672,II,4,"6,918,868",F,TBC1D14,-0.0033,0.0008,-4.37,1.2E-05,6.0E-04,1,0,72.0%,-----+---+------
cg11430077,II,10,"8,099,018",R,GATA3,-0.0031,0.0007,-4.37,1.2E-05,6.1E-04,1,0,65.0%,--++-----+------
cg10804656,I,10,"22,623,460",F,,-0.0035,0.0008,-4.37,1.2E-05,6.2E-04,0,0,52.5%,--+--+-----+----
cg23950232,II,2,"233,323,030",F,ALPI,-0.0041,0.0009,-4.37,1.3E-05,6.2E-04,1,0,77.3%,--+--+---+-?+-+-
cg23681440,II,13,"27,498,239",F,,-0.0050,0.0012,-4.36,1.3E-05,6.3E-04,1,0,69.5%,----------------
cg10334928,II,14,"81,865,007",R,STON2,0.0017,0.0004,4.36,1.3E-05,6.3E-04,0,0,45.2%,++++++-+++++++++
cg06832406,II,10,"4,230,482",F,,0.0029,0.0007,4.36,1.3E-05,6.4E-04,0,0,37.3%,+++-++++++++++-+
cg17372758,I,10,"73,976,798",R,ASCC1;C10orf104,-0.0027,0.0006,-4.36,1.3E-05,6.4E-04,1,0,72.7%,-+----------+---
cg07068382,I,6,"36,947,277",F,MTCH1,0.0044,0.0010,4.36,1.3E-05,6.4E-04,0,0,42.0%,+++++++++-+?++++
cg21873567,II,7,"99,816,750",F,GATS;PVRIG,-0.0017,0.0004,-4.36,1.3E-05,6.4E-04,1,0,65.1%,-----+-----?++--
cg25537245,II,17,"56,413,890",R,,-0.0015,0.0003,-4.36,1.3E-05,6.4E-04,1,0,73.5%,---+-----+-+----
cg17879376,I,1,"32,212,024",R,BAI2,-0.0022,0.0005,-4.35,1.3E-05,6.5E-04,0,0,56.3%,-----------+--+-
cg13087259,II,11,"32,193,669",F,,-0.0027,0.0006,-4.35,1.4E-05,6.6E-04,0,0,73.2%,----------------
cg20066188,II,22,"37,678,791",F,CYTH4,-0.0059,0.0014,-4.35,1.4E-05,6.6E-04,1,0,76.5%,----?----+-?+--+
cg06819357,II,14,"102,928,437",F,TECPR2,0.0034,0.0008,4.35,1.4E-05,6.6E-04,1,0,78.4%,+++++-++++++++++
cg16536918,II,20,"3,065,403",R,AVP,0.0032,0.0007,4.34,1.4E-05,6.7E-04,1,0,51.5%,+++-+++++++++++-
cg23831876,II,2,"65,225,988",F,SLC1A4,-0.0031,0.0007,-4.34,1.4E-05,6.7E-04,1,0,66.2%,--+----------+--
cg17533477,II,7,"97,501,010",R,ASNS,-0.0049,0.0011,-4.34,1.4E-05,6.7E-04,1,0,55.2%,-+--------------
