Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg07839313,I,19,"17,514,600",R,BST2,-0.0096,0.0011,-8.46,2.7E-17,6.0E-14,0,0,-----------+----
cg23079012,I,2,"8,343,710",R,,-0.0223,0.0026,-8.46,2.7E-17,6.1E-14,1,0,----------------
cg09935388,II,1,"92,947,588",F,GFI1,-0.0832,0.0099,-8.44,3.1E-17,7.0E-14,1,0,-----------+----
cg05886626,II,15,"39,873,553",F,THBS1,-0.0144,0.0017,-8.43,3.6E-17,7.9E-14,1,0,-----------+----
cg00207731,II,15,"91,416,118",R,FURIN,-0.0124,0.0015,-8.43,3.6E-17,7.9E-14,1,0,-----------+----
cg20727233,II,7,"97,501,946",F,ASNS,-0.0049,0.0006,-8.42,3.9E-17,8.6E-14,1,0,-----------+----
cg13038618,II,14,"77,467,391",F,,-0.0245,0.0029,-8.41,4.0E-17,8.9E-14,1,0,-----------?----
cg00668559,II,6,"44,230,977",F,NFKBIE,-0.0103,0.0012,-8.41,4.3E-17,9.4E-14,1,0,---+-----+-+----
cg13855261,II,17,"14,206,572",F,HS3ST3B1;MGC12916,-0.0084,0.0010,-8.40,4.3E-17,9.4E-14,0,0,-----------+----
cg16254756,II,1,"154,943,676",F,SHC1,-0.0110,0.0013,-8.40,4.5E-17,9.8E-14,0,0,----------------
cg19046189,II,19,"49,316,732",F,HSD17B14,0.0078,0.0009,8.39,4.7E-17,1.0E-13,0,0,+++++++++++-++++
cg16786458,II,5,"149,108,820",F,PPARGC1B,0.0177,0.0021,8.39,4.7E-17,1.0E-13,1,0,++-+++++++++++++
cg08928675,I,7,"5,528,044",R,FBXL18,-0.0153,0.0018,-8.38,5.3E-17,1.1E-13,0,0,----------------
cg17287155,I,5,"393,347",F,AHRR,-0.0268,0.0032,-8.38,5.4E-17,1.1E-13,1,0,----?------?----
cg00310412,II,15,"74,724,918",R,SEMA7A,-0.0229,0.0027,-8.37,5.7E-17,1.2E-13,1,0,-----------+----
cg24947694,II,11,"86,387,554",F,,-0.0121,0.0014,-8.37,6.0E-17,1.3E-13,0,0,---------+-----+
cg04086928,II,9,"134,612,644",R,RAPGEF1,-0.0082,0.0010,-8.37,6.0E-17,1.3E-13,1,0,-----------+----
cg13985437,II,11,"76,381,044",F,LRRC32,-0.0143,0.0017,-8.36,6.3E-17,1.3E-13,1,0,-----+----------
cg23606396,II,6,"29,717,917",F,LOC285830,0.0107,0.0013,8.35,6.7E-17,1.4E-13,0,0,+++++++++++-+--+
cg04232972,II,16,"30,671,644",R,,-0.0153,0.0018,-8.35,7.0E-17,1.5E-13,1,0,----------------
cg00071265,II,20,"60,717,158",F,PSMA7,-0.0091,0.0011,-8.34,7.5E-17,1.6E-13,1,0,---+-------?----
cg06635952,II,2,"70,025,869",F,ANXA4,0.0213,0.0026,8.34,7.6E-17,1.6E-13,1,0,+++++++++++-+-++
cg24049493,II,1,"42,385,941",F,HIVEP3,0.0464,0.0056,8.33,7.8E-17,1.6E-13,1,0,+++++++++++-++++
cg05273302,II,19,"2,095,560",F,C19orf36;MOBKL2A,-0.0135,0.0016,-8.33,8.4E-17,1.7E-13,1,0,----------------
cg26371172,II,6,"29,454,888",R,MAS1L,0.0062,0.0007,8.32,8.9E-17,1.8E-13,1,0,++++++++++++++++
cg26728709,II,4,"114,823,338",F,ARSJ,0.0121,0.0015,8.31,9.4E-17,1.9E-13,0,0,++++?+-+++++++++
cg07069636,II,16,"30,671,749",F,,-0.0174,0.0021,-8.30,1.0E-16,2.0E-13,1,0,----------------
cg12086028,II,6,"33,241,026",R,VPS52;RPS18,-0.0147,0.0018,-8.30,1.0E-16,2.1E-13,1,0,----?---------+-
cg16178855,II,20,"56,269,979",R,PMEPA1,0.0089,0.0011,8.30,1.1E-16,2.1E-13,1,0,++++++++++++++++
cg06065019,II,2,"177,356,276",R,,-0.0134,0.0016,-8.28,1.2E-16,2.4E-13,0,0,-----------?----
cg03188382,II,2,"233,245,886",R,ALPP,-0.0170,0.0020,-8.28,1.2E-16,2.4E-13,1,0,-----------?----
cg18642234,II,3,"49,394,622",R,GPX1,-0.0167,0.0020,-8.28,1.2E-16,2.5E-13,1,0,-----+----------
cg03358636,II,3,"197,474,006",R,KIAA0226,-0.0217,0.0026,-8.28,1.3E-16,2.5E-13,1,0,-----------+----
cg18132076,II,6,"1,970,710",R,GMDS,0.0092,0.0011,8.27,1.4E-16,2.7E-13,0,0,+++++-+-++++++-+
cg23067299,I,5,"323,907",R,AHRR,0.0090,0.0011,8.25,1.5E-16,3.0E-13,1,0,+++++-++++++++++
cg15937073,II,1,"42,384,564",R,HIVEP3,0.0286,0.0035,8.25,1.6E-16,3.2E-13,1,0,++++++++++++++++
cg16526047,II,1,"949,893",F,ISG15,-0.0131,0.0016,-8.24,1.7E-16,3.2E-13,0,0,-----------?--+-
cg11445634,II,15,"61,821,004",R,,-0.0133,0.0016,-8.23,1.8E-16,3.5E-13,0,0,----------------
cg23685969,II,10,"73,976,821",F,ASCC1;C10orf104,-0.0072,0.0009,-8.23,1.9E-16,3.7E-13,1,0,-----+----------
cg17024919,II,3,"21,792,248",F,ZNF385D,-0.0351,0.0043,-8.22,2.1E-16,4.0E-13,1,0,----------------
cg09662411,II,1,"92,946,132",F,GFI1,-0.0323,0.0039,-8.21,2.2E-16,4.3E-13,1,0,-----------+----
cg02657160,II,3,"98,311,063",F,CPOX,-0.0158,0.0019,-8.20,2.4E-16,4.5E-13,1,0,-----------+----
cg07807026,II,12,"2,041,581",F,,0.0067,0.0008,8.19,2.6E-16,4.8E-13,0,0,++++++++++++++++
cg07924081,II,19,"45,898,892",F,PPP1R13L,0.0072,0.0009,8.19,2.6E-16,4.8E-13,0,0,+++++++++++++-++
cg03991871,II,5,"368,447",R,AHRR,-0.0379,0.0046,-8.19,2.6E-16,4.9E-13,1,0,-----------+----
cg16924010,I,3,"194,018,158",F,,0.0086,0.0011,8.18,2.9E-16,5.4E-13,0,0,+++++++++++++--+
cg01015663,II,1,"23,729,692",F,TCEA3,-0.0131,0.0016,-8.17,3.1E-16,5.8E-13,0,0,---+------------
cg04211179,II,1,"16,301,562",R,ZBTB17,-0.0104,0.0013,-8.17,3.2E-16,5.9E-13,1,0,-----------+-+--
cg11105358,I,5,"176,758,052",R,,0.0065,0.0008,8.16,3.3E-16,6.1E-13,0,0,+++++++++++++-++
cg14371731,I,10,"81,003,175",R,ZMIZ1,0.0291,0.0036,8.15,3.5E-16,6.5E-13,1,0,+++++++++++?++-+
cg17372758,I,10,"73,976,798",R,ASCC1;C10orf104,-0.0098,0.0012,-8.14,4.0E-16,7.3E-13,1,0,----------------
cg13645530,I,12,"116,756,948",F,,0.0122,0.0015,8.14,4.0E-16,7.3E-13,1,0,+++++++++-++++++
cg07626482,II,19,"47,289,503",F,SLC1A5,-0.0129,0.0016,-8.14,4.1E-16,7.4E-13,1,0,---+------------
cg26878655,II,17,"38,481,877",R,RARA,-0.0129,0.0016,-8.13,4.2E-16,7.7E-13,1,0,----------------
cg13184736,I,1,"68,299,409",F,GNG12,-0.0424,0.0052,-8.13,4.3E-16,7.7E-13,1,0,----------------
cg21161138,II,5,"399,360",R,AHRR,-0.0530,0.0065,-8.13,4.4E-16,7.9E-13,1,0,----------------
cg10850792,II,15,"89,531,046",R,,0.0097,0.0012,8.13,4.4E-16,7.9E-13,0,0,++-+++++++++++-+
cg25305703,II,8,"128,378,218",F,,-0.0350,0.0043,-8.09,5.9E-16,1.1E-12,1,0,----------------
cg01634388,II,4,"129,405,035",R,,0.0112,0.0014,8.08,6.2E-16,1.1E-12,0,0,++++???+++++++++
cg09540102,I,16,"1,822,124",F,NME3;MRPS34;EME2,-0.0158,0.0020,-8.08,6.5E-16,1.2E-12,1,0,--+-?------?----
cg12800803,I,20,"60,717,299",R,PSMA7,-0.0072,0.0009,-8.08,6.7E-16,1.2E-12,1,0,---+----------+-
cg17098103,II,1,"42,385,160",R,HIVEP3,0.0082,0.0010,8.07,7.2E-16,1.3E-12,1,0,++++++++++++++++
cg01692968,II,9,"108,005,349",F,,-0.0330,0.0041,-8.06,7.4E-16,1.3E-12,1,0,----------------
cg06477444,I,19,"50,411,521",R,NUP62;IL4I1,-0.0044,0.0005,-8.06,7.5E-16,1.3E-12,0,0,-----+----------
cg06106428,II,11,"110,584,327",F,ARHGAP20,0.0163,0.0020,8.06,7.5E-16,1.3E-12,1,0,+++++++++++-++++
cg23127986,II,6,"11,939,022",R,,0.0063,0.0008,8.06,7.7E-16,1.3E-12,0,0,+++++++++++-++++
cg15339249,II,4,"36,282,498",R,DTHD1,0.0069,0.0009,8.05,8.0E-16,1.4E-12,0,0,+++++++++++-++-+
cg16357921,II,9,"90,589,634",F,CDK20,0.0061,0.0008,8.05,8.1E-16,1.4E-12,0,0,+++++++++++++-++
cg05055821,II,7,"2,758,924",F,,0.0060,0.0008,8.04,8.8E-16,1.5E-12,0,0,++-++++++++?++++
cg24807889,II,1,"1,135,955",R,,-0.0094,0.0012,-8.04,8.8E-16,1.5E-12,0,0,---+---------+--
cg19804488,II,17,"73,760,363",R,GALK1,-0.0094,0.0012,-8.04,8.8E-16,1.5E-12,0,0,----------------
cg00871371,II,17,"75,371,476",R,SEPT9,-0.0095,0.0012,-8.04,8.8E-16,1.5E-12,1,0,---------+-----+
cg14656043,II,10,"35,419,996",F,CREM,-0.0111,0.0014,-8.04,9.1E-16,1.5E-12,0,0,----???----+----
cg07177756,II,1,"173,836,307",F,SNORD75;SNORD78;ZBTB37;SNORD76;GAS5;SNORD77;SNORD44,-0.0167,0.0021,-8.03,9.5E-16,1.6E-12,1,1,-?--???------+--
cg00442389,II,6,"32,160,074",R,GPSM3,-0.0098,0.0012,-8.03,9.6E-16,1.6E-12,1,0,-------------+--
cg01731783,II,14,"74,211,788",R,C14orf43,-0.0144,0.0018,-8.02,1.1E-15,1.8E-12,1,0,-----------+----
cg14580211,II,5,"150,161,299",R,C5orf62,-0.0333,0.0042,-8.02,1.1E-15,1.8E-12,1,0,----------------
cg06096336,II,2,"231,989,800",F,PSMD1;HTR2B,-0.0177,0.0022,-8.02,1.1E-15,1.8E-12,1,0,----------------
cg01899089,II,5,"369,969",F,AHRR,-0.0316,0.0039,-8.02,1.1E-15,1.8E-12,1,0,----------------
cg25955180,II,6,"32,116,538",F,PRRT1,0.0101,0.0013,8.01,1.1E-15,1.8E-12,1,0,+++++++++++-++++
cg01993576,II,6,"44,187,674",F,SLC29A1,-0.0078,0.0010,-8.01,1.1E-15,1.9E-12,0,0,---------+------
cg09726654,II,2,"158,114,268",F,GALNT5,0.0067,0.0008,8.01,1.2E-15,1.9E-12,1,0,++++++++++++++++
cg26599989,II,11,"1,297,087",R,TOLLIP,0.0125,0.0016,8.01,1.2E-15,1.9E-12,1,0,++++++++++++++++
cg06537333,II,16,"85,643,863",F,KIAA0182,0.0050,0.0006,8.00,1.3E-15,2.0E-12,0,0,+++++++++-+-++-+
cg22871253,II,6,"159,238,744",R,EZR,-0.0109,0.0014,-8.00,1.3E-15,2.1E-12,0,0,----------------
cg11323506,I,5,"80,529,135",F,RNU5E;RNU5D;CKMT2,0.0084,0.0011,7.99,1.3E-15,2.1E-12,0,0,+++++++++-++++++
cg13039251,II,5,"32,018,601",R,PDZD2,0.0304,0.0038,7.99,1.4E-15,2.2E-12,1,0,+++++++++++-++++
cg01293143,II,20,"62,688,326",R,TCEA2,-0.0081,0.0010,-7.99,1.4E-15,2.3E-12,1,0,-----------+----
cg12876356,II,1,"92,946,825",F,GFI1,-0.0573,0.0072,-7.98,1.5E-15,2.4E-12,1,0,----------------
cg19089201,I,7,"45,002,287",R,MYO1G,0.0312,0.0039,7.97,1.6E-15,2.5E-12,1,0,++++++++++++++-+
cg23061027,II,6,"32,116,207",R,PRRT1,0.0114,0.0014,7.96,1.8E-15,2.8E-12,1,0,++++++++++++++++
cg12979844,II,13,"46,425,929",F,SIAH3,0.0123,0.0015,7.95,1.9E-15,3.0E-12,0,0,++++++++++++++++
cg04636834,II,16,"685,580",R,C16orf13,-0.0100,0.0013,-7.95,1.9E-15,3.1E-12,0,0,---------+---+--
cg10580293,I,7,"29,605,897",F,PRR15,-0.0132,0.0017,-7.93,2.1E-15,3.3E-12,1,0,----?------?----
cg03274391,II,3,"22,413,232",F,,0.0727,0.0092,7.93,2.2E-15,3.5E-12,1,0,+++++++++++-++++
cg18704527,II,22,"19,962,042",F,ARVCF,0.0145,0.0018,7.92,2.4E-15,3.7E-12,1,0,++++++++++++++-+
cg21393163,II,1,"12,217,629",R,,-0.0136,0.0017,-7.92,2.4E-15,3.8E-12,1,0,----------------
cg00501876,II,3,"39,193,251",R,CSRNP1,-0.0222,0.0028,-7.91,2.5E-15,3.9E-12,1,0,----------------
cg10858945,II,10,"116,528,318",R,,0.0077,0.0010,7.91,2.5E-15,3.9E-12,0,0,++++?++++-+?++++
cg01744331,I,11,"2,722,358",F,KCNQ1OT1;KCNQ1,-0.0135,0.0017,-7.91,2.6E-15,4.0E-12,1,0,----------------
cg02186444,II,17,"73,120,977",F,ARMC7,0.0151,0.0019,7.91,2.6E-15,4.1E-12,1,0,++++++++++++++-+
cg00230183,II,16,"88,882,565",R,GALNS,0.0088,0.0011,7.91,2.7E-15,4.1E-12,0,0,+++++++++++?+--+
cg09287933,II,6,"33,384,473",R,CUTA,-0.0075,0.0010,-7.90,2.8E-15,4.3E-12,1,0,---------+-+----
cg13399816,II,1,"68,299,468",F,GNG12,-0.0213,0.0027,-7.90,2.8E-15,4.3E-12,1,0,----------------
cg27579313,II,17,"7,381,622",F,ZBTB4,-0.0138,0.0017,-7.89,3.0E-15,4.6E-12,0,0,----???-----?-+-
cg26669717,II,7,"641,028",R,PRKAR1B,-0.0120,0.0015,-7.89,3.0E-15,4.6E-12,1,0,---------+------
cg11624345,II,19,"44,278,551",F,KCNN4,-0.0109,0.0014,-7.89,3.1E-15,4.6E-12,1,0,---------+---+--
cg11198596,II,3,"66,548,117",R,LRIG1,-0.0137,0.0017,-7.89,3.1E-15,4.7E-12,1,0,----------------
cg11066209,II,7,"2,282,252",R,FTSJ2;NUDT1,-0.0054,0.0007,-7.88,3.2E-15,4.8E-12,0,0,---+------------
cg22721579,I,1,"36,787,932",R,FAM176B,-0.0160,0.0020,-7.88,3.4E-15,5.0E-12,0,0,----?------?----
cg14841514,I,10,"80,866,619",R,ZMIZ1,-0.0055,0.0007,-7.87,3.7E-15,5.5E-12,1,0,-----+-----+----
cg26510500,II,2,"74,778,482",R,LOXL3,-0.0025,0.0003,-7.86,3.7E-15,5.5E-12,1,0,-----+---+-+-+--
cg07465627,II,17,"53,167,407",F,STXBP4,-0.0136,0.0017,-7.86,3.8E-15,5.6E-12,1,0,---+-------?----
cg21380183,II,20,"50,312,632",R,ATP9A,-0.0088,0.0011,-7.86,3.9E-15,5.7E-12,1,0,----???-?--++---
cg19375644,II,2,"128,617,792",R,,0.0069,0.0009,7.85,4.0E-15,6.0E-12,1,0,++++++++++++++++
cg13543915,II,9,"134,293,793",F,,-0.0132,0.0017,-7.85,4.1E-15,6.0E-12,0,0,-----------+----
cg01268763,I,14,"53,618,419",R,DDHD1,-0.0144,0.0018,-7.85,4.1E-15,6.0E-12,0,0,----------------
cg08058672,II,3,"51,423,212",F,MANF,-0.0037,0.0005,-7.85,4.2E-15,6.2E-12,0,0,---+------------
cg02431562,II,2,"96,809,970",R,DUSP2,-0.0064,0.0008,-7.84,4.5E-15,6.5E-12,0,0,-----------+----
cg26950531,II,19,"38,704,515",F,DPF1,0.0187,0.0024,7.84,4.6E-15,6.7E-12,0,0,+++++++++++?++++
cg08606254,II,5,"323,969",R,AHRR,0.0071,0.0009,7.83,4.7E-15,6.8E-12,1,0,+++++++-+++?++++
cg18146737,I,1,"92,946,700",R,GFI1,-0.0519,0.0066,-7.83,4.8E-15,6.9E-12,1,0,-----------+----
cg18780100,II,17,"78,682,785",R,RPTOR,0.0095,0.0012,7.82,5.3E-15,7.6E-12,1,0,+++++++++++?++-+
cg07660627,II,17,"35,481,970",F,ACACA,0.0136,0.0017,7.82,5.4E-15,7.8E-12,1,0,++++???+++++++++
cg20295214,II,1,"206,226,794",R,AVPR1B,-0.0178,0.0023,-7.82,5.5E-15,7.9E-12,1,0,-----------+----
cg12279125,I,8,"2,129,970",R,,0.0117,0.0015,7.81,5.7E-15,8.1E-12,0,0,+?++++++++++++++
cg17220933,I,1,"206,729,613",R,RASSF5,-0.0077,0.0010,-7.81,5.9E-15,8.5E-12,1,0,-----------?----
cg05339037,II,19,"13,951,168",R,,-0.0143,0.0018,-7.80,6.1E-15,8.7E-12,0,0,---------+------
cg23219570,II,12,"4,488,893",R,FGF23,0.0130,0.0017,7.80,6.3E-15,8.9E-12,1,0,++++++++++++++++
cg09099830,I,16,"30,485,485",R,ITGAL,-0.0224,0.0029,-7.79,6.4E-15,9.1E-12,1,0,-----------+----
cg13185177,II,3,"194,119,885",R,GP5,0.0233,0.0030,7.79,6.5E-15,9.1E-12,1,0,++++++++++++++-+
cg07413467,II,7,"92,238,086",R,CDK6,0.0127,0.0016,7.79,6.9E-15,9.7E-12,1,0,+++++++++++-+-++
cg09636313,II,16,"89,070,025",F,,0.0158,0.0020,7.79,6.9E-15,9.7E-12,1,0,++++++++++++++-+
cg14120703,II,9,"139,416,102",F,NOTCH1,-0.0098,0.0013,-7.78,7.0E-15,9.8E-12,1,0,-------------+--
cg20141108,II,1,"165,907,859",R,,0.0094,0.0012,7.78,7.3E-15,1.0E-11,0,0,+++++++++-+++-++
cg07992484,II,2,"106,724,161",R,UXS1,-0.0112,0.0014,-7.78,7.4E-15,1.0E-11,1,0,---------+-+----
cg04944536,I,12,"116,756,890",F,,0.0101,0.0013,7.78,7.4E-15,1.0E-11,0,0,+++++++++-++++++
cg26242531,II,14,"104,190,678",R,ZFYVE21,0.0163,0.0021,7.77,7.8E-15,1.1E-11,1,0,+++++++++++-++++
cg03292675,II,8,"21,912,864",R,EPB49,-0.0162,0.0021,-7.77,7.8E-15,1.1E-11,1,0,-----------?----
cg17359265,II,5,"178,567,126",R,ADAMTS2,-0.0063,0.0008,-7.75,8.9E-15,1.2E-11,0,0,---+-----+-?----
cg14712058,I,19,"16,988,083",R,SIN3B,-0.0138,0.0018,-7.75,9.1E-15,1.2E-11,1,0,----------------
cg03785755,II,6,"26,196,794",F,,-0.0140,0.0018,-7.75,9.4E-15,1.3E-11,0,0,----------------
cg01002722,II,7,"5,608,879",F,,0.0064,0.0008,7.74,9.8E-15,1.3E-11,0,0,+++++++++++-+--+
cg03082813,II,3,"47,554,177",F,C3orf75,-0.0044,0.0006,-7.73,1.0E-14,1.4E-11,0,0,---+------------
cg07456681,II,16,"15,146,876",R,NTAN1,0.0090,0.0012,7.73,1.1E-14,1.4E-11,1,0,+++++++++++++-++
cg26574777,II,13,"100,927,476",R,PCCA,0.0076,0.0010,7.72,1.1E-14,1.5E-11,0,0,++++++++++++++++
cg09166091,II,2,"216,484,055",R,,0.0104,0.0014,7.72,1.2E-14,1.6E-11,0,0,++++???++++?++++
cg00468395,II,16,"28,193,063",F,XPO6,-0.0066,0.0009,-7.71,1.2E-14,1.6E-11,0,0,---------+------
cg07362537,II,6,"33,240,820",R,VPS52;RPS18,-0.0114,0.0015,-7.71,1.2E-14,1.6E-11,1,0,-----+---+-+----
cg08825291,II,16,"16,327,241",R,NOMO3,-0.0062,0.0008,-7.71,1.2E-14,1.7E-11,0,0,---+-----+-?----
cg21552014,II,3,"146,026,497",R,,0.0082,0.0011,7.71,1.3E-14,1.7E-11,0,0,++-++??+++++++++
cg07063068,II,14,"91,711,033",F,GPR68,-0.0085,0.0011,-7.71,1.3E-14,1.7E-11,1,0,-----------?----
cg25096368,II,12,"54,150,616",F,,-0.0073,0.0009,-7.70,1.3E-14,1.7E-11,0,0,-------------+--
cg21747070,I,5,"957,535",F,,-0.0188,0.0024,-7.70,1.3E-14,1.8E-11,1,0,-----------+----
cg13897348,II,1,"1,549,699",F,MIB2,-0.0098,0.0013,-7.70,1.4E-14,1.8E-11,0,0,-----------?----
cg20345915,I,10,"121,296,042",F,RGS10,-0.0076,0.0010,-7.70,1.4E-14,1.8E-11,1,0,-----------+-+--
cg18091264,II,15,"66,795,595",R,SNORD18A;RPL4;SNORD18B;SNORD16,-0.0106,0.0014,-7.70,1.4E-14,1.8E-11,1,1,---+?----+-?----
cg15892280,II,21,"40,180,000",F,ETS2,-0.0079,0.0010,-7.70,1.4E-14,1.8E-11,1,0,-------+-+-+-+--
cg12765567,II,6,"33,918,728",F,,-0.0064,0.0008,-7.70,1.4E-14,1.8E-11,0,0,---+-------+----
cg09256832,II,1,"9,382,878",R,SPSB1,0.0079,0.0010,7.69,1.4E-14,1.9E-11,0,0,++-++-++++++++++
cg25006998,II,11,"119,897,638",F,,0.0077,0.0010,7.69,1.5E-14,1.9E-11,0,0,++++++--+++?+-++
cg23878241,I,12,"111,019,734",R,PPTC7,-0.0068,0.0009,-7.69,1.5E-14,1.9E-11,0,0,-----+----------
cg22158051,II,5,"143,172,092",R,,0.0062,0.0008,7.69,1.5E-14,2.0E-11,0,0,++++++++++++++++
cg10190813,II,7,"48,018,530",R,HUS1,-0.0115,0.0015,-7.68,1.6E-14,2.0E-11,1,0,-----------+----
cg06868100,II,7,"29,606,349",R,PRR15,-0.0232,0.0030,-7.67,1.7E-14,2.2E-11,1,0,-----------?+---
cg17084044,II,1,"1,150,416",F,TNFRSF4,-0.0101,0.0013,-7.67,1.7E-14,2.2E-11,0,0,----?+---+-?----
cg09717146,II,12,"131,715,773",F,,0.0067,0.0009,7.66,1.8E-14,2.3E-11,0,0,+++++++++++-++-+
cg03450842,II,10,"80,834,947",F,ZMIZ1,-0.0259,0.0034,-7.66,1.9E-14,2.4E-11,1,0,----?------?----
cg27067781,II,6,"32,116,853",R,PRRT1,0.0101,0.0013,7.65,2.0E-14,2.5E-11,1,0,+++++++-++++++++
cg14947900,I,17,"5,370,938",R,DHX33,-0.0100,0.0013,-7.65,2.0E-14,2.5E-11,0,0,-----------?-+--
cg25648203,II,5,"395,444",R,AHRR,-0.0387,0.0051,-7.64,2.1E-14,2.7E-11,1,0,----------------
cg04885881,II,1,"11,123,118",F,,-0.0424,0.0056,-7.64,2.2E-14,2.7E-11,1,0,-----------+----
cg22027435,II,4,"140,076,137",R,,0.0080,0.0010,7.64,2.2E-14,2.7E-11,0,0,++++++++++++++-+
cg24379915,I,8,"29,202,958",R,DUSP4,-0.0076,0.0010,-7.64,2.2E-14,2.7E-11,1,0,-----------+----
cg16391678,I,16,"30,485,597",F,ITGAL,-0.0136,0.0018,-7.63,2.4E-14,3.0E-11,1,0,----------------
cg13828047,II,15,"75,182,130",R,MPI,-0.0065,0.0009,-7.62,2.5E-14,3.1E-11,1,0,---------+---+--
cg21698310,II,17,"48,224,718",R,PPP1R9B,-0.0082,0.0011,-7.62,2.5E-14,3.1E-11,1,0,---+-------+----
cg03489965,II,15,"65,368,982",F,LOC390594,0.0246,0.0032,7.62,2.6E-14,3.2E-11,1,0,+++++++++++-++++
cg06759309,II,6,"139,699,305",R,,0.0063,0.0008,7.61,2.6E-14,3.3E-11,0,0,++++++++++++++-+
cg12547807,II,1,"9,473,751",F,,-0.0170,0.0022,-7.61,2.7E-14,3.3E-11,1,0,-----------+----
cg08257009,II,14,"94,812,770",F,,-0.0174,0.0023,-7.61,2.8E-14,3.4E-11,0,0,-----------+-+--
cg20069688,II,6,"31,941,049",F,STK19;DOM3Z,-0.0070,0.0009,-7.61,2.8E-14,3.5E-11,1,0,---------+------
cg23110422,II,21,"40,182,073",F,ETS2,-0.0214,0.0028,-7.60,2.9E-14,3.5E-11,1,0,---------+------
cg01839993,II,10,"74,034,644",R,DDIT4,-0.0169,0.0022,-7.60,2.9E-14,3.6E-11,1,0,-----------+----
cg08266095,II,5,"123,149,716",F,,-0.0235,0.0031,-7.60,3.0E-14,3.7E-11,0,0,-----------?----
cg17690322,II,11,"67,206,434",R,CORO1B;PTPRCAP,-0.0079,0.0010,-7.60,3.1E-14,3.7E-11,1,0,-----------+----
cg02512902,II,17,"25,799,447",F,KSR1,-0.0095,0.0013,-7.59,3.3E-14,4.0E-11,1,0,-------+--------
cg17372101,II,7,"147,500,722",F,CNTNAP2,0.0246,0.0032,7.59,3.3E-14,4.0E-11,1,0,++++++++++++++++
cg01435643,I,13,"113,689,776",F,MCF2L,0.0217,0.0029,7.58,3.3E-14,4.0E-11,1,0,++++++++++++++++
cg00295485,II,2,"106,755,721",F,UXS1,-0.0238,0.0031,-7.58,3.4E-14,4.1E-11,1,0,-----------+----
cg00169122,II,16,"89,488,963",R,ANKRD11,0.0092,0.0012,7.58,3.5E-14,4.2E-11,1,0,+++++-+-+++-++++
cg00010445,II,19,"14,089,630",R,RFX1,0.0062,0.0008,7.57,3.7E-14,4.5E-11,0,0,++++++++++++++++
cg04806562,II,17,"80,316,908",F,TEX19,0.0080,0.0011,7.57,3.8E-14,4.5E-11,0,0,+++++-++++++++-+
cg10841124,I,5,"433,274",R,AHRR,0.0117,0.0016,7.57,3.8E-14,4.5E-11,1,0,+++++++++++?++++
cg16401465,II,10,"63,809,170",F,ARID5B,-0.0102,0.0013,-7.56,3.9E-14,4.6E-11,1,0,---------?------
cg04530628,II,12,"109,003,704",R,,0.0054,0.0007,7.56,3.9E-14,4.6E-11,0,0,++-+++++++++++++
cg13867915,II,1,"27,050,039",F,ARID1A,0.0038,0.0005,7.56,3.9E-14,4.6E-11,0,0,++++++++++++++++
cg05379350,II,17,"27,917,157",R,GIT1,-0.0066,0.0009,-7.56,4.0E-14,4.7E-11,0,0,---+------------
cg02068690,II,2,"25,600,451",F,DTNB,0.0068,0.0009,7.56,4.1E-14,4.8E-11,0,0,++++++++++++++++
cg14034325,II,10,"43,891,459",R,HNRNPF,-0.0167,0.0022,-7.55,4.3E-14,5.0E-11,1,0,----------------
cg00911794,I,17,"1,962,132",F,HIC1,0.0208,0.0028,7.55,4.3E-14,5.0E-11,1,0,+++++++++++-++++
cg16519923,II,16,"30,485,810",F,ITGAL,-0.0159,0.0021,-7.55,4.4E-14,5.2E-11,1,0,----------------
cg22947000,II,16,"81,272,281",R,BCMO1,0.0110,0.0015,7.55,4.5E-14,5.2E-11,0,0,++++?+++++++-+++
cg11429111,I,5,"134,813,329",F,,0.0134,0.0018,7.54,4.7E-14,5.5E-11,0,0,+++++++++++-++++
cg26707709,II,2,"241,975,756",F,SNED1,0.0284,0.0038,7.53,5.0E-14,5.7E-11,1,0,++++++++++++++++
cg12158535,II,14,"105,857,250",F,PACS2,0.0060,0.0008,7.53,5.0E-14,5.8E-11,1,0,++++++++++++++-+
cg07112604,II,14,"91,836,354",R,CCDC88C,-0.0079,0.0010,-7.53,5.0E-14,5.8E-11,1,0,-------+++------
cg08164233,II,13,"37,394,589",R,RFXAP,-0.0091,0.0012,-7.53,5.0E-14,5.8E-11,0,0,----------------
cg04539476,II,14,"23,351,487",F,REM2,0.0068,0.0009,7.53,5.2E-14,5.9E-11,1,0,++-++++++++++--+
cg18316974,I,1,"92,947,035",F,GFI1,-0.0374,0.0050,-7.53,5.2E-14,6.0E-11,1,0,-----------+----
cg04077141,II,22,"36,782,143",R,MYH9,-0.0050,0.0007,-7.53,5.3E-14,6.0E-11,0,0,--+------+------
cg02338271,I,1,"171,868,115",F,DNM3,-0.0061,0.0008,-7.52,5.3E-14,6.0E-11,0,0,---+-------?-+--
cg17232357,II,15,"67,012,832",R,SMAD6,-0.0113,0.0015,-7.52,5.5E-14,6.2E-11,1,0,---+---------+--
